"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat --output /opt/dstat/test.csv",,,,"Date:","14 Feb 2023 09:44:16 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
0.722,5.511,88.102,5.511,0.0,0.156,7464558.556,403578.345,0.0,0.0,0.0,0.0,13003.298,10163.597
2.070,5.834,84.003,7.340,0.0,0.753,12689408.0,4096.0,21960.0,492.0,0.0,0.0,11794.0,9322.0
0.125,0.438,98.685,0.751,0.0,0.0,368640.0,8192.0,21972.0,180.0,0.0,0.0,1466.0,1176.0
0.250,2.628,68.523,28.473,0.0,0.125,75943936.0,0.0,20220.0,132.0,0.0,0.0,3902.0,1518.0
0.498,2.617,64.798,31.900,0.0,0.187,69640192.0,0.0,14280.0,132.0,0.0,0.0,3749.0,3904.0
1.258,2.956,66.541,29.182,0.0,0.063,35893248.0,312832.0,14292.0,132.0,0.0,0.0,3842.0,4484.0
0.125,1.626,64.415,33.709,0.0,0.125,24698880.0,0.0,13332.0,0.0,0.0,0.0,2319.0,2230.0
0.439,1.946,61.833,35.656,0.0,0.126,30691328.0,12633600.0,13284.0,312.0,0.0,0.0,4292.0,4932.0
1.070,5.160,57.017,36.690,0.0,0.063,34443264.0,93696.0,12912.0,252.0,0.0,0.0,7147.0,8724.0
0.376,1.691,58.234,39.386,0.0,0.313,20910080.0,0.0,14418.0,312.0,0.0,0.0,4680.0,4311.0
2.142,4.096,60.996,32.514,0.0,0.252,23752704.0,92672.0,15924.0,240.0,0.0,0.0,8161.0,10289.0
0.814,2.567,64.684,31.810,0.0,0.125,21204992.0,0.0,16419.0,240.0,0.0,0.0,5143.0,5526.0
0.691,2.134,62.963,34.024,0.0,0.188,31109120.0,0.0,15639.0,180.0,0.0,0.0,5367.0,5889.0
0.501,1.753,65.185,32.248,0.0,0.313,14376960.0,0.0,22827.0,60.0,0.0,0.0,4309.0,4539.0
0.565,1.883,65.537,31.701,0.0,0.314,9396224.0,0.0,17196.0,0.0,0.0,0.0,5292.0,6426.0
7.482,13.494,50.367,28.257,0.0,0.401,18227200.0,0.0,14856.0,0.0,0.0,0.0,13638.0,17107.0
3.244,7.252,64.313,24.936,0.0,0.254,25174016.0,0.0,14040.0,0.0,0.0,0.0,8691.0,9604.0
12.967,25.409,41.388,19.843,0.0,0.393,24117248.0,0.0,16920.0,0.0,0.0,0.0,15203.0,13733.0
10.281,25.096,43.742,20.562,0.0,0.319,39178240.0,0.0,22140.0,0.0,0.0,0.0,18835.0,18396.0
14.820,39.755,32.990,11.985,0.0,0.451,42868736.0,0.0,26682.0,0.0,0.0,0.0,19856.0,16848.0
11.604,27.204,41.788,19.214,0.0,0.190,31195136.0,0.0,23856.0,0.0,0.0,0.0,12823.0,8854.0
36.631,57.307,4.850,0.830,0.0,0.383,18522112.0,0.0,27552.0,0.0,0.0,0.0,18782.0,9555.0
17.673,5.149,55.308,21.678,0.0,0.191,11517952.0,7257600.0,22596.0,0.0,0.0,0.0,7109.0,3944.0
5.412,63.595,23.003,7.668,0.0,0.322,12034048.0,663552.0,21198.0,0.0,0.0,0.0,13962.0,5006.0
2.701,96.985,0.0,0.126,0.0,0.188,2764800.0,1536.0,35547.0,0.0,0.0,0.0,16723.0,2026.0
3.448,96.364,0.0,0.0,0.0,0.188,1376256.0,0.0,15726.0,60.0,0.0,0.0,16689.0,1772.0
3.333,96.541,0.0,0.0,0.0,0.126,3067904.0,0.0,13272.0,120.0,0.0,0.0,16652.0,2533.0
2.070,97.742,0.0,0.0,0.0,0.188,2097152.0,31232.0,16944.0,120.0,0.0,0.0,16607.0,1714.0
4.138,95.674,0.063,0.0,0.0,0.125,827392.0,0.0,15420.0,0.0,0.0,0.0,16863.0,2037.0
3.173,96.637,0.0,0.0,0.0,0.190,3604480.0,0.0,12156.0,0.0,0.0,0.0,16501.0,1961.0
4.0,95.875,0.0,0.0,0.0,0.125,1748992.0,0.0,18378.0,0.0,0.0,0.0,16742.0,2088.0
5.696,94.177,0.0,0.063,0.0,0.063,2301952.0,0.0,21027.0,60.0,0.0,0.0,16519.0,2114.0
7.412,92.399,0.063,0.0,0.0,0.126,1482752.0,425984.0,12600.0,0.0,0.0,0.0,16501.0,3278.0
7.775,91.909,0.190,0.0,0.0,0.126,2162688.0,0.0,12780.0,0.0,0.0,0.0,16583.0,1897.0
4.010,95.608,0.255,0.0,0.0,0.127,3788800.0,4096.0,16476.0,0.0,0.0,0.0,16358.0,1632.0
3.526,96.159,0.063,0.063,0.0,0.189,3584000.0,0.0,15756.0,0.0,0.0,0.0,16609.0,1835.0
5.348,94.523,0.0,0.0,0.0,0.129,7774208.0,0.0,20550.0,0.0,0.0,0.0,16111.0,1540.0
4.930,94.943,0.063,0.0,0.0,0.063,4153344.0,180224.0,14316.0,0.0,0.0,0.0,16403.0,2577.0
2.622,97.191,0.062,0.0,0.0,0.125,672768.0,12288.0,19410.0,0.0,0.0,0.0,16817.0,2088.0
0.565,99.183,0.063,0.0,0.0,0.188,978944.0,0.0,23148.0,0.0,0.0,0.0,16621.0,1439.0
0.498,99.254,0.0,0.124,0.0,0.124,884736.0,0.0,25392.0,0.0,0.0,0.0,16793.0,1499.0
4.285,95.526,0.0,0.0,0.0,0.189,647168.0,0.0,24480.0,0.0,0.0,0.0,16573.0,3214.0
0.689,99.123,0.0,0.0,0.0,0.188,872448.0,8192.0,24300.0,0.0,0.0,0.0,16669.0,1523.0
0.622,99.316,0.0,0.0,0.0,0.062,471040.0,0.0,26421.0,0.0,0.0,0.0,16768.0,1577.0
1.188,98.625,0.0,0.0,0.0,0.188,577536.0,0.0,23604.0,0.0,0.0,0.0,16708.0,1684.0
1.574,98.300,0.0,0.0,0.0,0.126,540672.0,0.0,21600.0,0.0,0.0,0.0,16458.0,1450.0
6.466,93.534,0.0,0.0,0.0,0.0,9674752.0,0.0,20802.0,0.0,0.0,0.0,16035.0,4570.0
1.202,98.672,0.063,0.0,0.0,0.063,3649536.0,4096.0,17466.0,0.0,0.0,0.0,16218.0,1434.0
1.188,98.625,0.0,0.0,0.0,0.188,2002944.0,0.0,21318.0,0.0,0.0,0.0,16554.0,1848.0
0.755,98.931,0.063,0.189,0.0,0.063,1626112.0,0.0,14280.0,0.0,0.0,0.0,16469.0,1957.0
6.242,93.633,0.062,0.0,0.0,0.062,81920.0,0.0,13650.0,0.0,0.0,0.0,16696.0,2802.0
2.251,97.686,0.0,0.0,0.0,0.063,65536.0,0.0,13290.0,0.0,0.0,0.0,16602.0,1869.0
1.075,97.977,0.126,0.0,0.0,0.822,401408.0,3384832.0,20991.0,0.0,0.0,0.0,16504.0,2176.0
5.938,94.0,0.0,0.0,0.0,0.062,196608.0,90112.0,19719.0,0.0,0.0,0.0,16531.0,3620.0
2.442,97.433,0.063,0.0,0.0,0.063,1118208.0,16384.0,17478.0,0.0,0.0,0.0,16807.0,2476.0
6.026,93.785,0.063,0.0,0.0,0.126,421888.0,0.0,16662.0,0.0,0.0,0.0,16672.0,4050.0
1.991,97.760,0.062,0.062,0.0,0.124,139264.0,0.0,18012.0,0.0,0.0,0.0,16691.0,2921.0
5.160,94.840,0.0,0.0,0.0,0.0,73728.0,64512.0,17820.0,0.0,0.0,0.0,16547.0,2797.0
4.574,95.175,0.063,0.063,0.0,0.125,7200768.0,4096.0,16920.0,0.0,0.0,0.0,16784.0,3116.0
4.918,95.019,0.0,0.0,0.0,0.063,344064.0,0.0,16596.0,0.0,0.0,0.0,16466.0,1651.0
1.187,98.751,0.0,0.0,0.0,0.062,307200.0,0.0,16074.0,0.0,0.0,0.0,16434.0,1183.0
